000 0 0  # FORMATION 0: 
452 0 0  # FORMATION 1c4: 
453 0 0  # FORMATION 1c5: 
454 0 0  # FORMATION 1c6: 
455 0 0  # FORMATION 1c7: 
456 0 0  # FORMATION 1c8: 
457 0 0  # FORMATION 1c9: 
458 7 1  # FORMATION 1ca: Stray_Cat_
459 0 0  # FORMATION 1cb: 
460 0 0  # FORMATION 1cc: 
461 0 0  # FORMATION 1cd: 
462 0 0  # FORMATION 1ce: 
463 6 1  # FORMATION 1cf: Doom_Gaze_
464 0 0  # FORMATION 1d0: 
465 0 0  # FORMATION 1d1: 
466 0 0  # FORMATION 1d2: 
467 0 0  # FORMATION 1d3: 
468 0 0  # FORMATION 1d4: 
469 0 0  # FORMATION 1d5: 
470 0 0  # FORMATION 1d6: 
471 5 1  # FORMATION 1d7: _Short_Arm _Long_Arm_ _Face_____
472 0 0  # FORMATION 1d8: 
473 0 0  # FORMATION 1d9: 
474 0 0  # FORMATION 1da: 
475 0 0  # FORMATION 1db: 
476 0 0  # FORMATION 1dc: 
477 0 0  # FORMATION 1dd: 
478 0 0  # FORMATION 1de: 
479 0 0  # FORMATION 1df: 
480 0 0  # FORMATION 1e0: 
481 0 0  # FORMATION 1e1: 
482 0 0  # FORMATION 1e2: 
483 0 0  # FORMATION 1e3: 
484 0 0  # FORMATION 1e4: 
485 0 0  # FORMATION 1e5: Recruit___ Recruit___ Recruit___
486 0 0  # FORMATION 1e6: 
487 0 0  # FORMATION 1e7: 
488 0 0  # FORMATION 1e8: 
489 0 0  # FORMATION 1e9: 
490 0 0  # FORMATION 1ea: 
491 0 0  # FORMATION 1eb: 
492 0 0  # FORMATION 1ec: 
493 0 0  # FORMATION 1ed: 
494 0 0  # FORMATION 1ee: 
495 0 0  # FORMATION 1ef: 
496 0 0  # FORMATION 1f0: 
497 0 0  # FORMATION 1f1: 
498 0 0  # FORMATION 1f2: 
499 0 0  # FORMATION 1f3: 
500 0 0  # FORMATION 1f4: Witch_____ Witch_____ Revenant__ Revenant__
501 0 0  # FORMATION 1f5: 
502 0 1  # FORMATION 1f6: _Gau______
503 0 0  # FORMATION 1f7: 
504 0 0  # FORMATION 1f8: 
505 0 0  # FORMATION 1f9: 
506 0 0  # FORMATION 1fa: 
507 0 0  # FORMATION 1fb: 
508 0 0  # FORMATION 1fc: 
509 0 0  # FORMATION 1fd: 
510 0 0  # FORMATION 1fe: 
511 0 0  # FORMATION 1ff: 
512 0 0  # FORMATION 200: _Hit______ _Tiger____ _Tools____ _Magic____
513 0 0  # FORMATION 201: _Girl_____ _Sleep____
514 0 0  # FORMATION 202: Kefka_____
515 0 0  # FORMATION 203: 
516 0 0  # FORMATION 204: 
517 0 0  # FORMATION 205: 
518 0 0  # FORMATION 206: 
519 0 0  # FORMATION 207: 
520 0 0  # FORMATION 208: 
521 0 0  # FORMATION 209: 
522 0 0  # FORMATION 20a: 
523 0 0  # FORMATION 20b: 
524 0 0  # FORMATION 20c: 
525 0 0  # FORMATION 20d: 
526 0 0  # FORMATION 20e: 
527 0 0  # FORMATION 20f: 
528 0 0  # FORMATION 210: 
529 0 0  # FORMATION 211: 
530 0 0  # FORMATION 212: 
531 0 0  # FORMATION 213: 
532 0 0  # FORMATION 214: 
533 0 0  # FORMATION 215: 
534 0 0  # FORMATION 216: 
535 0 0  # FORMATION 217: 
536 0 0  # FORMATION 218: 
537 0 0  # FORMATION 219: 
538 0 0  # FORMATION 21a: 
539 0 0  # FORMATION 21b: 
540 0 0  # FORMATION 21c: 
541 0 0  # FORMATION 21d: 
542 0 0  # FORMATION 21e: 
543 0 0  # FORMATION 21f: 
544 0 0  # FORMATION 220: 
545 0 0  # FORMATION 221: 
546 0 0  # FORMATION 222: 
547 0 0  # FORMATION 223: 
548 0 0  # FORMATION 224: 
549 0 0  # FORMATION 225: 
550 0 0  # FORMATION 226: 
551 0 0  # FORMATION 227: 
552 0 0  # FORMATION 228: 
553 0 0  # FORMATION 229: 
554 0 0  # FORMATION 22a: 
555 0 0  # FORMATION 22b: 
556 0 0  # FORMATION 22c: 
557 0 0  # FORMATION 22d: 
558 0 0  # FORMATION 22e: 
559 0 0  # FORMATION 22f: 
560 0 0  # FORMATION 230: 
561 0 0  # FORMATION 231: 
562 0 0  # FORMATION 232: 
563 0 0  # FORMATION 233: 
564 0 0  # FORMATION 234: 
565 0 0  # FORMATION 235: 
566 0 0  # FORMATION 236: 
567 0 0  # FORMATION 237: 
568 0 0  # FORMATION 238: 
569 0 0  # FORMATION 239: 
570 0 0  # FORMATION 23a: 
571 0 0  # FORMATION 23b: 
572 0 0  # FORMATION 23c: 
573 0 0  # FORMATION 23d: 
574 0 1  # FORMATION 23e: 
575 0 1  # FORMATION 23f: Guard_____
